i,X,Y
0,-2,0
1,-1.23463,-0.152241
2,-0.585786,-0.585786
3,-0.152241,-1.23463
4,0,-2
5,1.16667,-2
6,2.33333,-2
7,3.5,-2
8,4.66667,-2
9,5.83333,-2
10,7,-2
11,6.82707,-0.244187
12,6.31492,1.44415
13,5.48323,3.00013
14,4.36396,4.36396
15,3.00013,5.48323
16,1.44415,6.31492
17,-0.244187,6.82707
18,-2,7
19,-2,5.83333
20,-2,4.66667
21,-2,3.5
22,-2,2.33333
23,-2,1.16667
